,x
33274_f_at,-3.230646123
33273_f_at,-3.07447245
38840_s_at,-2.919609313
31719_at,-2.91332039
41237_at,-2.881368425
39696_at,-2.87997392
41246_at,-2.841062196
36119_at,-2.828591085
658_at,-2.783858326
31720_s_at,-2.733716686
261_s_at,-2.728278709
36133_at,-2.654725098
32818_at,-2.603649444
40114_at,-2.557050884
33991_g_at,-2.55415585
41504_s_at,-2.550742896
41531_at,-2.5296122
33992_at,-2.51305161
39350_at,-2.506892697
311_s_at,-2.499623077
37319_at,-2.493193428
35332_at,-2.483387564
34793_s_at,-2.469937021
39389_at,-2.467934724
36622_at,-2.463634057
34795_at,-2.446486606
34342_s_at,-2.43931695
40953_at,-2.43161676
2036_s_at,-2.428898383
31798_at,-2.413677737
37006_at,-2.362490065
32531_at,-2.358260726
36621_at,-2.318229706
33876_at,-2.290932217
36781_at,-2.245852511
32607_at,-2.236768903
377_g_at,-2.233984364
38379_at,-2.231199265
671_at,-2.223022796
33998_at,-2.218007295
39393_r_at,-2.192772884
38650_at,-2.192450629
32538_at,-2.181887239
38038_at,-2.169189284
32434_at,-2.166141643
38125_at,-2.157493949
1232_s_at,-2.146433011
40607_at,-2.140949386
38033_at,-2.10619389
32552_at,-2.078119984
1385_at,-2.06231232
1126_s_at,-2.048990722
39106_at,-2.048566355
1586_at,-2.039602508
2092_s_at,-2.031606792
35367_at,-2.029659519
40936_at,-2.028587555
1916_s_at,-2.026565816
38079_at,-2.022895525
38875_r_at,-2.01636879
37024_at,-2.016189823
38927_i_at,-2.00882738
39701_at,-1.989740153
36811_at,-1.987452979
892_at,-1.978300789
40511_at,-1.975065084
40078_at,-1.96236881
33143_s_at,-1.956414347
35803_at,-1.953879262
719_g_at,-1.948153211
36638_at,-1.928462819
38111_at,-1.892148708
38839_at,-1.873423965
40493_at,-1.861682102
32306_g_at,-1.857270465
1105_s_at,-1.837974093
38465_at,-1.823199791
32307_s_at,-1.798383642
41136_s_at,-1.78916133
38077_at,-1.77527933
41505_r_at,-1.774846146
38772_at,-1.771888128
36780_at,-1.755177019
1585_at,-1.751824312
376_at,-1.741829245
41193_at,-1.739395751
291_s_at,-1.734134857
38355_at,-1.732167863
32535_at,-1.730886952
36584_at,-1.723522364
39710_at,-1.723339353
37383_f_at,-1.708487344
39626_s_at,-1.706380779
1456_s_at,-1.701779444
1278_at,-1.700766525
39382_at,-1.696848525
31472_s_at,-1.696827786
41544_at,-1.696144596
33867_s_at,-1.672608623
34884_at,-1.672542942
38586_at,-1.670302032
41827_f_at,-1.668466207
1788_s_at,-1.660892215
1488_at,-1.660230738
36014_at,-1.656647683
39338_at,-1.64470079
37749_at,-1.628103263
41214_at,-1.61893282
41191_at,-1.617662083
41738_at,-1.614902018
36606_at,-1.604539125
35362_at,-1.602162393
38470_i_at,-1.583233332
33439_at,-1.580130864
37921_at,-1.573226312
36204_at,-1.568711779
34363_at,-1.564408031
40422_at,-1.557802575
32649_at,-1.556012307
32521_at,-1.552263519
38327_at,-1.544230225
40571_at,-1.534754426
35842_at,-1.524408512
1798_at,-1.52129981
195_s_at,-1.520955161
34678_at,-1.52082863
41182_at,-1.513271421
36933_at,-1.512111255
1467_at,-1.507063246
32287_s_at,-1.487866172
581_at,-1.48502657
38957_at,-1.47854697
37141_at,-1.476544451
41266_at,-1.46771603
40567_at,-1.467130054
32542_at,-1.46351988
38827_at,-1.462524944
37019_at,-1.460038169
36192_at,-1.452363751
37907_at,-1.452058896
40434_at,-1.449422413
40646_at,-1.442260337
35366_at,-1.423642751
38418_at,-1.416067784
434_at,-1.414564153
2062_at,-1.407968131
753_at,-1.407802045
40079_at,-1.406600784
995_g_at,-1.405190074
33328_at,-1.39819792
1396_at,-1.397387166
35829_at,-1.396090286
34842_at,-1.39531933
38112_g_at,-1.394199041
33809_at,-1.392856991
38433_at,-1.38892037
33866_at,-1.387571411
41690_at,-1.387336691
32305_at,-1.387090191
34800_at,-1.375234223
37908_at,-1.374665123
33127_at,-1.368258507
483_g_at,-1.363285581
37671_at,-1.354262796
649_s_at,-1.354008489
266_s_at,-1.348381474
36491_at,-1.346398681
37283_at,-1.345753109
1815_g_at,-1.339933025
977_s_at,-1.337699309
34802_at,-1.336836566
1915_s_at,-1.33559631
32297_s_at,-1.335449953
31886_at,-1.332758607
37025_at,-1.323683869
40071_at,-1.321353248
872_i_at,-1.318666215
39631_at,-1.315389772
672_at,-1.306149697
2020_at,-1.305221066
34472_at,-1.301157729
31477_at,-1.298368238
32314_g_at,-1.293249098
41439_at,-1.292452862
37755_at,-1.289637098
40516_at,-1.280104247
35926_s_at,-1.27260933
39575_at,-1.268629441
36149_at,-1.267052164
41177_at,-1.266012393
36577_at,-1.263091564
38842_at,-1.262986508
39032_at,-1.25971362
1491_at,-1.259653319
36589_at,-1.255974567
35372_r_at,-1.254918701
32210_at,-1.25411696
41872_at,-1.253577545
37534_at,-1.245960795
37611_at,-1.244108466
333_s_at,-1.242910905
39099_at,-1.239523717
37008_r_at,-1.238291028
32643_at,-1.233333245
32027_at,-1.232537044
2017_s_at,-1.22942144
34840_at,-1.22712464
31862_at,-1.22238714
37576_at,-1.221378964
34777_at,-1.220865272
32787_at,-1.219672073
32794_g_at,-1.219529511
40621_at,-1.215115458
317_at,-1.213101825
232_at,-1.209555633
37614_g_at,-1.209452947
33705_at,-1.208456691
33721_at,-1.202972131
851_s_at,-1.199655022
41739_s_at,-1.199210997
40780_at,-1.196697298
2019_s_at,-1.183739832
37754_at,-1.179657391
659_g_at,-1.176404646
32154_at,-1.175944736
1741_s_at,-1.172988238
32593_at,-1.169075879
907_at,-1.168515303
38722_at,-1.161224967
32378_at,-1.160247905
36873_at,-1.15838161
37225_at,-1.147622105
36502_at,-1.145305736
41449_at,-1.139927568
36454_at,-1.139301955
1648_at,-1.138510274
40193_at,-1.136540284
40454_at,-1.131279747
40213_at,-1.129579348
34163_g_at,-1.126457455
40386_r_at,-1.123133316
40385_at,-1.118261295
35938_at,-1.117998263
37374_at,-1.117307617
36308_at,-1.11106482
34797_at,-1.108699625
38745_at,-1.10778738
36319_at,-1.106338179
2054_g_at,-1.101889649
40409_at,-1.09512089
35342_at,-1.094259158
33212_at,-1.091117413
1651_at,-1.089327426
36521_at,-1.086988106
33353_at,-1.084960968
37799_at,-1.08278714
31465_g_at,-1.080944043
35966_at,-1.078598049
718_at,-1.078110094
39366_at,-1.077063368
33131_at,-1.073434505
38637_at,-1.070499866
37215_at,-1.066769085
36059_at,-1.063283211
1478_at,-1.059809059
36239_at,-1.057768834
33847_s_at,-1.054489468
33405_at,-1.05403697
1039_s_at,-1.053250091
859_at,-1.051441474
39781_at,-1.048780161
41049_at,-1.04718386
36455_at,-1.046906097
35168_f_at,-1.046313806
33904_at,-1.04453755
38427_at,-1.037088337
37202_at,-1.035717333
38220_at,-1.03392477
35964_at,-1.030300769
41158_at,-1.024171266
1814_at,-1.022927439
38642_at,-1.02190343
34718_at,-1.021758475
33833_at,-1.01777463
39967_at,-1.017555844
32780_at,-1.017311337
32193_at,-1.017045399
37032_at,-1.015836119
35692_at,-1.012701671
36550_at,-1.005441474
684_at,-1.004924701
37033_s_at,-1.004823769
1064_at,-1.004544616
38408_at,-1.003607585
38748_at,-1.003373646
41815_at,-1.002653599
38087_s_at,-0.997615987
41138_at,-0.997585593
35315_at,-0.996322397
38928_r_at,-0.991381758
36496_at,-0.990830223
1737_s_at,-0.990369144
41000_at,-0.984778704
41654_at,-0.984769808
40556_at,-0.977779142
33232_at,-0.974717003
35977_at,-0.973845687
2057_g_at,-0.969025136
34312_at,-0.96758834
38207_at,-0.96718614
34417_at,-0.966457767
38411_at,-0.964555164
41503_at,-0.957787441
32612_at,-0.956962815
35669_at,-0.953172659
35824_at,-0.951897398
36995_at,-0.950840023
35980_at,-0.950834006
36899_at,-0.949077229
31672_g_at,-0.945890977
32252_at,-0.944734615
34688_at,-0.944487796
37958_at,-0.944442829
32529_at,-0.94370864
35831_at,-0.937395756
1237_at,-0.936074778
342_at,-0.93457063
32119_at,-0.93185449
33355_at,-0.930476506
32696_at,-0.928619845
39330_s_at,-0.928544234
33440_at,-0.926167725
37669_s_at,-0.920358355
32112_s_at,-0.919919882
35780_at,-0.91696674
35193_at,-0.916361068
32664_at,-0.913202184
41215_s_at,-0.913132809
1571_f_at,-0.911929035
39120_at,-0.911630759
39247_at,-0.908082219
33299_at,-0.903781431
2044_s_at,-0.901975537
32148_at,-0.896601968
1664_at,-0.896459589
160043_at,-0.895430819
38356_at,-0.89489344
36790_at,-0.890713577
33800_at,-0.889975097
37747_at,-0.888028172
39829_at,-0.885150997
1011_s_at,-0.885088325
32350_at,-0.882508095
37279_at,-0.880842549
39939_at,-0.879731801
36989_at,-0.878850043
1052_s_at,-0.877229215
38370_at,-0.875166592
35742_at,-0.873468013
41385_at,-0.870475363
36921_at,-0.869994753
33238_at,-0.869033749
159_at,-0.867390249
37027_at,-0.8663923
39352_at,-0.860653206
31488_s_at,-0.859758367
41628_at,-0.859262577
35985_at,-0.856840343
34155_s_at,-0.853603707
37310_at,-0.849704867
38066_at,-0.847590983
226_at,-0.843164303
35844_at,-0.842059533
36057_at,-0.841697326
39754_at,-0.84143189
1736_at,-0.840123284
33942_s_at,-0.83929862
41300_s_at,-0.836930054
38551_at,-0.835635264
35352_at,-0.835232217
1375_s_at,-0.835056429
40155_at,-0.834463238
36849_at,-0.834421476
32251_at,-0.833309045
32781_f_at,-0.830595949
33386_at,-0.829825398
37762_at,-0.825854692
1939_at,-0.825321717
1057_at,-0.824740585
33730_at,-0.824596151
39333_at,-0.822248349
36976_at,-0.821687659
38241_at,-0.818430077
34311_at,-0.817568778
32648_at,-0.814560329
1451_s_at,-0.812438402
40541_at,-0.812344545
40777_at,-0.811836861
37565_at,-0.809513169
41559_at,-0.80912964
36089_at,-0.809045805
770_at,-0.808282002
40051_at,-0.807129505
38194_s_at,-0.805896975
40069_at,-0.804999161
32034_at,-0.803220984
32275_at,-0.802733222
34376_at,-0.800696875
40035_at,-0.800463317
1364_at,-0.800350715
41354_at,-0.799322209
37449_i_at,-0.798427047
35214_at,-0.79810119
37185_at,-0.797594829
37251_s_at,-0.796413638
40581_at,-0.79314389
33107_at,-0.792493467
821_s_at,-0.791788127
39069_at,-0.790925912
39410_at,-0.787528336
35004_at,-0.780789351
35747_at,-0.780420428
37842_at,-0.779217768
41747_s_at,-0.777879908
38127_at,-0.775252298
38575_at,-0.773341028
608_at,-0.772234932
2059_s_at,-0.771973754
37242_at,-0.770779209
2058_s_at,-0.770661354
35017_f_at,-0.770540628
41839_at,-0.770065554
1147_at,-0.769563879
38013_at,-0.76886278
1984_s_at,-0.768076835
38047_at,-0.76791654
36159_s_at,-0.763019798
34739_at,-0.758738746
35698_at,-0.756175936
33446_at,-0.755926631
38147_at,-0.755575078
1669_at,-0.754825356
2053_at,-0.754731512
38374_at,-0.754295736
41700_at,-0.753434914
40803_at,-0.752978823
1826_at,-0.752330486
1678_g_at,-0.74986331
2052_g_at,-0.748161805
40631_at,-0.748041876
38761_s_at,-0.746741455
37625_at,-0.746171277
36659_at,-0.745857275
33436_at,-0.745498605
38323_at,-0.744979751
41362_at,-0.742825211
38835_at,-0.742394089
33825_at,-0.742002612
543_g_at,-0.740856668
39329_at,-0.739356806
36130_f_at,-0.738723453
38051_at,-0.738584532
2061_at,-0.738502677
36543_at,-0.738351796
37422_at,-0.738038041
34853_at,-0.737336767
35794_at,-0.737094092
39298_at,-0.737012387
39058_at,-0.736438847
818_s_at,-0.736406785
239_at,-0.73470231
37513_at,-0.73406897
35200_at,-0.733215954
38760_f_at,-0.732527621
35822_at,-0.732382546
31671_at,-0.732025944
40127_at,-0.730879733
34818_at,-0.730086055
37678_at,-0.728931272
38385_at,-0.727913952
39008_at,-0.727619773
36625_at,-0.726675146
41350_at,-0.726337679
36980_at,-0.725182279
34390_at,-0.722977766
33824_at,-0.722487252
40701_at,-0.72013491
37351_at,-0.720065829
31892_at,-0.719480699
34162_at,-0.718063023
41294_at,-0.717791757
41809_at,-0.716339444
36935_at,-0.715661888
36134_at,-0.71381013
32963_s_at,-0.712964031
33700_at,-0.711203204
31867_at,-0.711104925
36791_g_at,-0.707805259
1495_at,-0.707356788
41470_at,-0.706669954
33213_g_at,-0.705433992
33411_g_at,-0.704093833
39964_at,-0.703442479
41416_at,-0.700949572
38643_at,-0.700260666
31609_s_at,-0.700173622
1913_at,-0.699377228
1558_g_at,-0.694450631
38223_at,-0.693014195
37426_at,-0.692239868
40504_at,-0.691802453
38976_at,-0.690922737
33377_at,-0.690778319
33240_at,-0.690284634
37037_at,-0.687150358
36711_at,-0.68635544
36091_at,-0.685728402
39166_s_at,-0.684301342
39756_g_at,-0.683896163
35766_at,-0.682801928
36911_at,-0.679924786
38405_at,-0.6791316
32796_f_at,-0.679071397
39738_at,-0.678054835
38972_at,-0.677936052
39019_at,-0.677216359
41176_at,-0.67675186
40370_f_at,-0.676436677
37363_at,-0.675894417
1857_at,-0.675855535
41401_at,-0.675659397
34767_at,-0.67518704
34348_at,-0.674162033
359_at,-0.67348154
39324_at,-0.673197376
34693_at,-0.672488674
32164_at,-0.670943753
1243_at,-0.670647976
37450_r_at,-0.670625281
41498_at,-0.670377679
227_g_at,-0.669092782
36667_at,-0.669033873
36792_at,-0.668748729
35174_i_at,-0.668017269
36497_at,-0.667929509
40350_at,-0.666183091
1974_s_at,-0.665700048
36262_at,-0.664064868
33702_f_at,-0.663073349
39332_at,-0.662370707
40966_at,-0.661334145
36062_at,-0.66019458
38428_at,-0.660095565
AFFX-HSAC07/X00351_5_at,-0.659819424
